ID,code,description
5f0f0111-23e4-4721-a5f8-1858ccbb5928,TEL,"Telugu"
e33c5b38-5322-4fa5-bebd-ca523587eb92,HIN,"Hindi"
d58c0fa2-38e4-4f00-a4d4-bc719e19e332,ENG,"English"
